arm	ploidy	theta_nominal	estimator	mean	q025	q975	theoretical	bias	bias_pct
pi_dip_1pop_theta005	diploid	0.005	new	0.004929814313659262	0.0017992982333308526	0.011140650718762374	0.004968308483759362	-3.849417010009983e-5	-0.7747942831233481
pi_dip_1pop_theta005	diploid	0.005	new_multi	0.004973573421052631	0.0018094736842105	0.011254736842105	0.004968308483759362	5.264937293269524e-6	0.10597041851325852
pi_dip_1pop_theta005	diploid	0.005	old	0.004929814313659257	0.0017992982333308706	0.01114065071876244	0.004968308483759362	-3.8494170100105037e-5	-0.7747942831234529
pi_dip_1pop_theta005	diploid	0.005	vcftools	0.0049735735518	0.00180947	0.0112547	0.004968308483759362	5.265068040638185e-6	0.1059730501406844
pi_dip_1pop_theta010	diploid	0.01	new	0.009726160941979011	0.003674785401409925	0.02180681526113964	0.009871225906960514	-1.45064964981503e-4	-1.4695739551377613
pi_dip_1pop_theta010	diploid	0.01	new_multi	0.009896433421052632	0.003724184210526325	0.02215378947368389	0.009871225906960514	2.5207514092117148e-5	0.2553635620307558
pi_dip_1pop_theta010	diploid	0.01	old	0.009726160943343885	0.0036747854014098948	0.021806815261139856	0.009871225906960514	-1.450649636166295e-4	-1.4695739413109734
pi_dip_1pop_theta010	diploid	0.01	vcftools	0.009896433557	0.00372418375	0.02215380499999999	0.009871225906960514	2.5207650039485094e-5	0.2553649392393135
pi_dip_1pop_theta025	diploid	0.025	new	0.023291315500738805	0.009134272004889303	0.0507431883944193	0.02420029167512235	-9.089761743835446e-4	-3.7560546235810985
pi_dip_1pop_theta025	diploid	0.025	new_multi	0.024279049631578946	0.009369934210526315	0.05307959210526362	0.02420029167512235	7.87579564565967e-5	0.3254421786062978
pi_dip_1pop_theta025	diploid	0.025	old	0.023291315503077118	0.009134272004889263	0.05074318839441925	0.02420029167512235	-9.089761720452311e-4	-3.7560546139187623
pi_dip_1pop_theta025	diploid	0.025	vcftools	0.0242790496045	0.00936993425	0.053079617499999995	0.02420029167512235	7.875792937764997e-5	0.3254420667111724
pi_dip_1pop_theta050	diploid	0.05	new	0.04353890703742257	0.017715002198711225	0.09219373366012386	0.046887656725291285	-0.0033487496878687184	-7.142070902558875
pi_dip_1pop_theta050	diploid	0.05	new_multi	0.04706419713157895	0.018689368421053097	0.09972506578947368	0.046887656725291285	1.7654040628766604e-4	0.37651786977112855
pi_dip_1pop_theta050	diploid	0.05	old	0.04353890699913344	0.017715002198710948	0.09219373366012422	0.046887656725291285	-0.0033487497261578472	-7.1420709842203
pi_dip_1pop_theta050	diploid	0.05	vcftools	0.0470641970865	0.018689395	0.09972510749999984	0.046887656725291285	1.7654036120871158e-4	0.3765177736286518
pi_dip_1pop_theta100	diploid	0.1	new	0.07723279219613285	0.033225898783393805	0.15534582847990425	0.08825771674887681	-0.011024924552743953	-12.491740052729451
pi_dip_1pop_theta100	diploid	0.1	new_multi	0.08869273736842108	0.036823000000000154	0.17726286842105304	0.08825771674887681	4.350206195442713e-4	0.4928981119940512
pi_dip_1pop_theta100	diploid	0.1	old	0.07723279205667735	0.033225898783393944	0.15534582847990722	0.08825771674887681	-0.011024924692199456	-12.491740210738866
pi_dip_1pop_theta100	diploid	0.1	vcftools	0.0886927375	0.03682304	0.1772633249999998	0.08825771674887681	4.350207511231857e-4	0.492898261078935
pi_oct_1pop_theta005	octoploid	0.005	new	0.004940460760153576	0.001995256246985475	0.010856242022125465	0.004968308483759362	-2.784772360578565e-5	-0.5605071363184388
pi_oct_1pop_theta005	octoploid	0.005	new_multi	0.005006204023734177	0.0020146503164557177	0.011017838607594747	0.004968308483759362	3.7895539974815325e-5	0.7627453105758234
pi_oct_1pop_theta010	octoploid	0.01	new	0.009672572926774058	0.004008686544237915	0.020840271634287658	0.009871225906960514	-1.9865298018645686e-4	-2.012444878263604
pi_oct_1pop_theta010	octoploid	0.01	new_multi	0.009928422465189875	0.0040873101265823	0.021380621044304	0.009871225906960514	5.719655822936098e-5	0.5794271022510981
pi_oct_1pop_theta025	octoploid	0.025	new	0.02288792707594269	0.009753185312035445	0.048440087222788066	0.02420029167512235	-0.0013123645991796606	-5.4229288506004165
pi_oct_1pop_theta025	octoploid	0.025	new_multi	0.024352308988924053	0.010237682753164825	0.051564780063291564	0.02420029167512235	1.520173138017042e-4	0.6281631471325464
pi_oct_1pop_theta050	octoploid	0.05	new	0.042054505546102815	0.018389676621045372	0.08682605877837554	0.046887656725291285	-0.00483315117918847	-10.307939267482011
pi_oct_1pop_theta050	octoploid	0.05	new_multi	0.04716426845886076	0.020297800632911575	0.09745164715189873	0.046887656725291285	2.7661173356947205e-4	0.5899457402832144
pi_oct_1pop_theta100	octoploid	0.1	new	0.07270593145669912	0.03341756383037268	0.14372867463150069	0.08825771674887681	-0.015551785292177683	-17.620878791174484
pi_oct_1pop_theta100	octoploid	0.1	new_multi	0.08872961095569619	0.03983190743670842	0.17277887420885896	0.08825771674887681	4.7189420681938155e-4	0.5346775604472987
